id,slug,title,format,time,pathways,stages,tags,summary,featuredHome,internalRoute,file,libcalUrl,bookingUrl,ownerName,ownerEmail
learn-impact-planner,,Impact Planning Module,Tool,45–60 min,academic,Developing an Idea,impact planning; grant preparation; impact pathways; outcomes; impact plan,"Map your research outputs to outcomes, identify your impact pathways, and build a structured impact plan you can take into a consultation or grant application.",false,learn,,,,,
learn-narrative-cv,,Narrative CV Builder,Tool,60–90 min,academic,Developing an Idea,narrative cv; grant writing; academic scholarship; tri-agency; TCV; personal statement,"Draft your Tri-agency Narrative CV section by section. Guided prompts walk you through your contributions, mentorship, and personal statement.",false,tools-narrative,,,,,
4th-space-public-engagement,4th-space_research-activation-public-engagement,4th Space Research Activation & Public Engagement Support,Consultation,On demand,community; communications,Active Research; Finishing a Project,public engagement; knowledge mobilization; communications; community,,false,,content/workshops/4th-space_research-activation-public-engagement.md,,,,
evaluating-digital-scholarship-tools-for-research,evaluating-digital-scholarship-tools-for-research,Evaluating Digital Scholarship Tools for Research,Workshop,90 min,academic; communications,preparing-grant; active-project,digital; tools; literacy,,false,,content/workshops/evaluating-digital-scholarship-tools-for-research.md,,,,
library-dmp-consultation,library-rdm_data-management-plan-consultations,Data Management Plan (DMP) Consultations,Consultation,60 min,academic,Developing an Idea,data management; grants; open science; research planning,,false,,content/workshops/library-rdm_data-management-plan-consultations.md,,,,
narrative-cv,narrative-cv,Narrative CV development,Workshop,60-90 min,academic,preparing-grant; active-project,assessment; story; impact,,true,,content/workshops/narrative-cv.md,,,,
oce-community-partnerships-workshop,oce_research-partnerships-black-indigenous-communities,Research Partnerships with Montréal's Black and Indigenous Communities,Workshop,2 hrs,community,Developing an Idea; Active Research,community engagement; partnerships; equity; indigenous; decolonial; research design,,false,,content/workshops/oce_research-partnerships-black-indigenous-communities.md,,,,
open-scholarship,open-scholarship,Open Science and Open Scholarship practices,Workshop,60 min,academic,active-project; concluded-project,open; sharing; integrity,,true,,content/workshops/open-scholarship.md,,,,
pips-ip-technology-transfer,pips_ip-technology-transfer-consultation,IP & Technology Transfer Consultation,Consultation,15 min,innovation,Finishing a Project,intellectual property; technology transfer; innovation; commercialization; patents,,false,,content/workshops/pips_ip-technology-transfer-consultation.md,,,,
pips-research-agreements-ip,pips_research-agreements-ip-support-consultation,Research Agreements & IP Support Consultation,Consultation,30 min,academic; community; innovation,Developing an Idea; Active Research,research agreements; intellectual property; partnerships; governance; sponsored research,,false,,content/workshops/pips_research-agreements-ip-support-consultation.md,,,,
pips-research-security-risk,pips_research-security-risk-assessment-consultation,External Partnerships & Sensitive Research Risk Assessment,Consultation,15–30 min,academic,Developing an Idea; Active Research,research security; risk assessment; partnerships; compliance; governance; research integrity,,false,,content/workshops/pips_research-security-risk-assessment-consultation.md,,,,
rdm-guidance,rdm-guidance,Research Data Management guidance,Consultation,60 min,academic,preparing-grant; active-project,data; ethics; planning,,true,,content/workshops/research-data-management.md,,,,
ucs-writing-op-ed,ucs_writing-an-op-ed-information-session,Writing an Op-Ed: Information Session,Workshop,60 min,communications; policy,Finishing a Project,writing; media; op-ed; knowledge mobilization; public scholarship; communications,,false,,content/workshops/ucs_writing-an-op-ed-information-session.md,,,,
