id,title,category,format,time,stage,pathway,tags,summary,author,detailsWho,detailsWhat,detailsOutcomes,externalUrl,libcalUrl,bookingUrl,ownerName,ownerEmail
ext-impact-narrative-tool,Impact Narrative Tool,External Resource,External Resource,20 min,Developing an Idea; Finishing a Project,Communications,narrative; impact; grant proposals; strategic planning; stakeholders,"Build a compelling impact narrative for your research. This interactive tool helps you connect your project’s rationale, stakeholders, activities, and expected contributions into a clear and persuasive story.","Municipality of Delft, Erasmus Medical Center Rotterdam, Erasmus University Rotterdam & partners","Researchers preparing grant proposals, engagement plans, or institutional reporting.","An interactive digital tool that guides you through connecting your research goals, activities, stakeholders, and expected outcomes into a coherent impact narrative. Works at individual and team levels.","A structured, persuasive impact narrative ready for proposals, engagement plans, and reporting.",https://impactnarrative.nl/en/impact-narrative-tool/,,,,
ext-case-study-guidelines,Impact & Engagement Case Study Guidelines,External Resource,External Resource,15 min,Developing an Idea; Finishing a Project,Community Engagement; Communications,case study; impact; engagement; evidence; reporting,"Tell the story of your research impact with clarity and confidence. These guidelines walk you through capturing evidence, describing engagement activities, and presenting a compelling case study.",Research Impact Canada,"Researchers documenting impact for funders, internal reviews, or institutional storytelling.","A structured set of guidelines for crafting clear, evidence-informed case studies that highlight pathways to impact. Walk through how to capture evidence, describe engagement, and present credible impact stories.",A well-structured case study demonstrating real-world research outcomes and engagement.,https://researchimpact.ca/wp-content/uploads/RIC_Impact-and-Engagement-Case-Study-Guidelines-EN.pdf,,,,
ext-impact-indicators,Impact Indicators: Overview & Menu,External Resource,External Resource,30 min,Developing an Idea; Finishing a Project,Academic Scholarship,indicators; tracking; evaluation; outputs; outcomes,How do you know if your research is making a difference? This tool helps you identify and develop research output and outcome indicators linked to societal impact.,Erasmus University Rotterdam,Academics and research units wanting to track and communicate societal impact.,"A practical guide explaining what impact indicators are and how to write them, plus an inspirational menu of example outputs and outcomes that can be tailored to different research contexts.",A set of tailored impact indicators for tracking progress toward your research goals and societal ambitions.,https://www.eur.nl/en/research/research-services/societal-impact-evaluation/impact-toolbox/impact-indicators,,,,
ext-research-impact-framework,Research Impact Framework,External Resource,External Resource,40 min,Developing an Idea; Finishing a Project,Academic Scholarship; Communications,framework; impact planning; career; multi-domain,"Explore and expand the potential range of your research impacts. Map your influence across academic, societal, environmental, cultural, and policy dimensions.",Giovanna Lima and Sarah Bowman,Individual researchers looking to understand and plan impact across multiple domains.,"A framework for mapping your influence across multiple dimensions — from scholarly contributions to societal and cultural change. Helps identify new opportunities, plan strategically, and communicate impact.",A multi-dimensional view of your research impact with new opportunities for strategic planning and communication.,https://doi.org/10.25546/98474,,,,
ext-flows-of-knowledge,Flows of Knowledge: Impact Assessment Method,External Resource,External Resource,10 min,Finishing a Project,Academic Scholarship; Policy,assessment; evaluation; knowledge exchange; non-academic impact,"A clear and simple framework for designing your own research impact assessment plan, focused on non-academic impacts on policy, practice, and wider society.",Erasmus University Rotterdam,Researchers and research teams carrying out impact assessment at the end of a project.,An evaluation method providing a framework for assessing non-academic impacts. Covers the method’s building blocks and how to assess the efficiency of knowledge exchange.,A structured plan for assessing and communicating the non-academic impact of your research.,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/ABLT4M,,,,
ext-engaged-research-planning,Engaged Research Planning for Impact,External Resource,External Resource,13 min,Developing an Idea,Academic Scholarship; Community Engagement,planning; engaged research; funding; strategy,A clear and concise framework for understanding research impact and how you can start planning for it. Informed by recent literature and international consultation.,Campus Engage and Irish Universities Association,Researchers at the early stages of planning a project or drafting a funding application.,"A guide informed by academic literature and consultation with researchers, policymakers, and funding agency personnel. Provides inspiration and guidance for planning engaged research and drafting funding applications.",A clearer understanding of research impact and a starting framework for your impact plan.,https://www.iua.ie/wp-content/uploads/2023/12/Guide-IUA-Engaged-Research-Planning-for-Impact-Framework-2022-Update_V5-25.pdf,,,,
ext-kmb-modules,Knowledge Mobilization Modules,External Resource,External Resource,Self-paced,Active Research; Finishing a Project,Communications; Community Engagement,knowledge mobilization; storytelling; infographics; skills; KMb,"Free, online modules on knowledge mobilization topics including an intro to KMb, storytelling for impact, and infographic design. Stand-alone and completable in any order.",Research Impact Canada,Researchers looking to build practical knowledge mobilization skills during or after their research.,"Freely accessible e-modules, each focused on a specific KMb skill. Step-by-step guidance with tools and additional resources for increased uptake. Apply the training directly to your own work.","Practical skills in knowledge mobilization, storytelling for impact, and visual communication of research.",https://researchimpact.ca/learning/kmb-modules/,,,,
ext-impact-worksheet,Thinking About My Impact: A Worksheet,External Resource,External Resource,20 min,Developing an Idea; Active Research,Community Engagement,worksheet; reflection; partners; beneficiaries; engagement plan,"A brief printable worksheet to help you consider how your project relates to society. Map current and potential partners, align your work to their needs, and plan your engagement.",Erasmus University Rotterdam,"Individual researchers and research teams, or professional staff holding impact workshops.","A printable worksheet with accompanying slides designed for academics to reflect on societal impact — what it means to you, how to map partners and beneficiaries, and how to align your work to their needs.","A completed worksheet mapping your impact goals, partners, and engagement strategy. Takes 15 minutes to fill out.",https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/ZMU5F1,,,,
ext-theory-of-change,Theory of Change (ToC) Method,External Resource,External Resource,15 min,Developing an Idea; Active Research,Academic Scholarship,theory of change; planning; evaluation; strategy; grant writing,"Understand when, where, and how to use the Theory of Change method for impact planning. A useful starting point for self-evaluation, grant applications, and strategy formulation.",Erasmus University Rotterdam,"Researchers and research teams carrying out impact assessment or planning, and stakeholders involved in assessment procedures.","A tool for understanding the Theory of Change method — how to describe envisioned changes in a given context, and how to specify the outcomes and outputs of your research activities.","A foundational understanding of ToC that supports self-evaluation, grant writing, strategy formulation, and mission statement drafting.",https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/D0GMXS,,,,
ext-impact-activities-catalogue,Impact Activities Catalogue,External Resource,External Resource,16 min,Developing an Idea,Academic Scholarship; Community Engagement,activities; brainstorming; engagement levels; commercialization; advising,"Trying to picture what type of research impact you want to make? Anchored by three levels of community engagement, this catalogue helps you brainstorm the type of impact you want to work towards.",Erasmus University Rotterdam,"Researchers, project leads, or staff involved in developing, implementing, or evaluating impact initiatives.",A catalogue describing key societal impact activities across different engagement levels — from academic scholarship and commercialization to academic advising and science activism.,A clearer picture of what types of impact activities align with your research goals and engagement level.,https://www.eur.nl/en/media/2025-09-impact-activities-catalogue,,,,
